ltf,order,closed,slow_ema,expected_profit,actual_profit,price,ask,name,symbol,htf,volume,deal,lcc,hcc,fast_ema,win,date,bid
TIMEFRAME_M1,886230009,False,20,0,0,6262.478,6262.652,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,154685316,100,100,8,False,2024-05-01 00:00:00.000000,6262.478
TIMEFRAME_M1,818800346,False,20,0,0,1530.17,1530.17,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,199322348,100,100,8,False,2024-05-01 00:00:00.000000,1529.72
TIMEFRAME_M1,824117887,False,20,0,0,213106.78,213158.32,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,152577421,100,100,8,False,2024-05-01 00:00:00.000000,213106.78
TIMEFRAME_M1,840615159,False,20,0,0,2223.172,2223.324,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,148894471,100,100,8,False,2024-05-01 00:00:00.000000,2223.172
TIMEFRAME_M1,832006417,False,20,0,0,2223.611,2223.611,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,157549838,100,100,8,False,2024-05-01 01:00:00.000000,2223.459
TIMEFRAME_M1,891580450,False,20,0,0,213252.53,213252.53,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,189233562,100,100,8,False,2024-05-01 01:00:00.000000,213200.99
TIMEFRAME_M1,883226922,False,20,0,0,6274.875,6274.875,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,116228913,100,100,8,False,2024-05-01 01:00:00.000000,6274.701
TIMEFRAME_M1,825733295,False,20,0,0,1554.22,1554.67,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,133076187,100,100,8,False,2024-05-01 01:00:00.000000,1554.22
TIMEFRAME_M1,835959975,False,20,0,0,6274.875,6274.875,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,151843042,100,100,8,False,2024-05-01 01:00:00.000000,6274.701
TIMEFRAME_M1,899397720,False,20,0,0,213252.53,213252.53,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,159466123,100,100,8,False,2024-05-01 02:00:00.000000,213200.99
TIMEFRAME_M1,832460780,False,20,0,0,1530.07,1530.52,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,195240829,100,100,8,False,2024-05-01 02:00:00.000000,1530.07
TIMEFRAME_M1,848797971,False,20,0,0,2211.584,2211.736,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,181896201,100,100,8,False,2024-05-01 02:00:00.000000,2211.584
TIMEFRAME_M1,812724764,False,20,0,0,2211.584,2211.736,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,144941102,100,100,8,False,2024-05-01 02:00:00.000000,2211.584
TIMEFRAME_M1,879484673,False,20,0,0,1530.07,1530.52,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,143691551,100,100,8,False,2024-05-01 02:00:00.000000,1530.07
TIMEFRAME_M1,847437487,False,20,0,0,214422.41,214422.41,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,154231964,100,100,8,False,2024-05-01 02:00:00.000000,214370.87
TIMEFRAME_M1,854944510,False,20,0,0,6275.654,6275.654,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,197148138,100,100,8,False,2024-05-01 02:00:00.000000,6275.48
TIMEFRAME_M1,802229749,False,20,0,0,1530.07,1530.52,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,195123454,100,100,8,False,2024-05-01 02:00:00.000000,1530.07
TIMEFRAME_M1,804734589,False,20,0,0,214370.87,214422.41,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,136559114,100,100,8,False,2024-05-01 02:00:00.000000,214370.87
TIMEFRAME_M1,847797400,False,20,0,0,6275.48,6275.654,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,104268697,100,100,8,False,2024-05-01 02:00:00.000000,6275.48
TIMEFRAME_M1,826672754,False,20,0,0,2211.584,2211.736,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,188862104,100,100,8,False,2024-05-01 03:00:00.000000,2211.584
TIMEFRAME_M1,815774872,False,20,0,0,6266.085,6266.259,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,191523865,100,100,8,False,2024-05-01 03:00:00.000000,6266.085
TIMEFRAME_M1,879681465,False,20,0,0,1541.23,1541.23,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,134497288,100,100,8,False,2024-05-01 03:00:00.000000,1540.78
TIMEFRAME_M1,842067711,False,20,0,0,2211.905,2212.057,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,137841048,100,100,8,False,2024-05-01 03:00:00.000000,2211.905
TIMEFRAME_M1,815928725,False,20,0,0,214248.02,214248.02,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,159027141,100,100,8,False,2024-05-01 03:00:00.000000,214196.48
TIMEFRAME_M1,815607591,False,20,0,0,6266.259,6266.259,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,185885364,100,100,8,False,2024-05-01 03:00:00.000000,6266.085
TIMEFRAME_M1,878715323,False,20,0,0,214196.48,214248.02,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,156743080,100,100,8,False,2024-05-01 03:00:00.000000,214196.48
TIMEFRAME_M1,831823605,False,20,0,0,2212.057,2212.057,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,106731482,100,100,8,False,2024-05-01 03:00:00.000000,2211.905
TIMEFRAME_M1,893884954,False,20,0,0,1540.78,1541.23,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,188457468,100,100,8,False,2024-05-01 04:00:00.000000,1540.78
TIMEFRAME_M1,800910450,False,20,0,0,214342.15,214393.69,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,112282997,100,100,8,False,2024-05-01 04:00:00.000000,214342.15
TIMEFRAME_M1,852023795,False,20,0,0,1532.57,1532.57,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,140708487,100,100,8,False,2024-05-01 04:00:00.000000,1532.12
TIMEFRAME_M1,897907042,False,20,0,0,6258.229,6258.229,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,176183081,100,100,8,False,2024-05-01 04:00:00.000000,6258.055
TIMEFRAME_M1,866519633,False,20,0,0,2204.2,2204.2,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,104910229,100,100,8,False,2024-05-01 04:00:00.000000,2204.048
TIMEFRAME_M1,884427519,False,20,0,0,2199.649,2199.649,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,153500677,100,100,8,False,2024-05-01 05:00:00.000000,2199.497
TIMEFRAME_M1,853093161,False,20,0,0,1533.0,1533.0,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,172785584,100,100,8,False,2024-05-01 05:00:00.000000,1532.55
TIMEFRAME_M1,837875222,False,20,0,0,6264.137,6264.311,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,103264472,100,100,8,False,2024-05-01 05:00:00.000000,6264.137
TIMEFRAME_M1,839418936,False,20,0,0,214182.95,214234.49,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,132844149,100,100,8,False,2024-05-01 05:00:00.000000,214182.95
TIMEFRAME_M1,866966782,False,20,0,0,2199.649,2199.649,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,105931959,100,100,8,False,2024-05-01 06:00:00.000000,2199.497
TIMEFRAME_M1,824546643,False,20,0,0,6260.308,6260.308,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,111703394,100,100,8,False,2024-05-01 06:00:00.000000,6260.134
TIMEFRAME_M1,820832123,False,20,0,0,212968.89,213020.43,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,139116290,100,100,8,False,2024-05-01 06:00:00.000000,212968.89
TIMEFRAME_M1,862821647,False,20,0,0,1551.45,1551.9,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,191941564,100,100,8,False,2024-05-01 06:00:00.000000,1551.45
TIMEFRAME_M1,848080053,False,20,0,0,2197.204,2197.204,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,116849443,100,100,8,False,2024-05-01 07:00:00.000000,2197.052
TIMEFRAME_M1,855583070,False,20,0,0,1551.45,1551.9,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,190631650,100,100,8,False,2024-05-01 07:00:00.000000,1551.45
TIMEFRAME_M1,883520444,False,20,0,0,214162.55,214214.09,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,196959652,100,100,8,False,2024-05-01 07:00:00.000000,214162.55
TIMEFRAME_M1,804627400,False,20,0,0,6259.619,6259.793,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,153586985,100,100,8,False,2024-05-01 07:00:00.000000,6259.619
TIMEFRAME_M1,814245907,False,20,0,0,6259.793,6259.793,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,129740397,100,100,8,False,2024-05-01 08:00:00.000000,6259.619
TIMEFRAME_M1,822781904,False,20,0,0,1551.23,1551.23,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,192151339,100,100,8,False,2024-05-01 08:00:00.000000,1550.78
TIMEFRAME_M1,874004780,False,20,0,0,2195.304,2195.456,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,170751978,100,100,8,False,2024-05-01 08:00:00.000000,2195.304
TIMEFRAME_M1,895798958,False,20,0,0,213829.91,213829.91,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,157855134,100,100,8,False,2024-05-01 08:00:00.000000,213778.37
TIMEFRAME_M1,875931816,False,20,0,0,213778.37,213829.91,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,117742584,100,100,8,False,2024-05-01 09:00:00.000000,213778.37
TIMEFRAME_M1,837004097,False,20,0,0,6264.526,6264.7,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,143825092,100,100,8,False,2024-05-01 09:00:00.000000,6264.526
TIMEFRAME_M1,817943945,False,20,0,0,2197.637,2197.637,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,177508656,100,100,8,False,2024-05-01 09:00:00.000000,2197.485
TIMEFRAME_M1,877548537,False,20,0,0,1556.55,1556.55,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,182929760,100,100,8,False,2024-05-01 09:00:00.000000,1556.1
